Time,Channel A,Channel B
(ms),(V),(V)

20.64383987,0.24649800,0.25543994
20.68479987,0.24649800,0.24637593
20.72575987,0.25559253,0.25543994
20.76671987,0.25559253,0.25543994
20.80767987,0.24649800,0.24637593
20.84863987,0.24649800,0.24637593
20.88959987,0.24649800,0.24637593
20.93055987,0.25559253,0.26450393
20.97151987,0.27378154,0.27359843
21.01247987,0.28287607,0.28266242
21.05343987,0.29200110,0.28266242
21.09439987,0.29200110,0.28266242
21.13535987,0.30109560,0.28266242
21.17631987,0.29200110,0.28266242
21.21727987,0.30109560,0.28266242
21.25823987,0.30109560,0.29172644
21.29919987,0.31019014,0.28266242
21.34015987,0.32837915,0.28266242
21.38111987,0.31928465,0.28266242
21.42207987,0.31928465,0.27359843
21.46303987,0.32837915,0.27359843
21.50399987,0.32837915,0.27359843
21.54495987,0.31928465,0.27359843
21.58591987,0.31019014,0.27359843
21.62687987,0.32837915,0.27359843
21.66783987,0.34659871,0.27359843
21.70879987,0.32837915,0.27359843
21.74975987,0.31928465,0.27359843
21.79071987,0.32837915,0.27359843
21.83167987,0.32837915,0.27359843
21.87263987,0.31928465,0.27359843
21.91359987,0.31019014,0.28266242
21.95455987,0.31019014,0.28266242
21.99551987,0.31019014,0.28266242
22.03647987,0.31019014,0.28266242
22.07743987,0.31019014,0.28266242
22.11839987,0.31928465,0.28266242
22.15935987,0.31019014,0.28266242
22.20031987,0.30109560,0.28266242
22.24127986,0.29200110,0.29172644
22.28223986,0.29200110,0.30082095
22.32319986,0.29200110,0.30082095
22.36415986,0.29200110,0.30082095
22.40511986,0.29200110,0.30082095
22.44607986,0.29200110,0.30082095
22.48703986,0.29200110,0.29172644
22.52799986,0.29200110,0.29172644
22.56895986,0.28287607,0.29172644
22.60991986,0.28287607,0.28266242
22.65087986,0.27378154,0.27359843
22.69183986,0.27378154,0.26450393
22.73279986,0.27378154,0.27359843
22.77375986,0.27378154,0.29172644
22.81471986,0.28287607,0.30082095
22.85567986,0.28287607,0.29172644
22.89663986,0.28287607,0.28266242
22.93759986,0.27378154,0.27359843
22.97855986,0.27378154,0.26450393
23.01951986,0.27378154,0.26450393
23.06047986,0.26468703,0.26450393
23.10143986,0.26468703,0.28266242
23.14239986,0.27378154,0.29172644
23.18335986,0.27378154,0.30082095
23.22431986,0.28287607,0.30082095
23.26527986,0.28287607,0.29172644
23.30623986,0.27378154,0.28266242
23.34719986,0.27378154,0.27359843
23.38815986,0.27378154,0.27359843
23.42911986,0.27378154,0.28266242
23.47007986,0.29200110,0.29172644
23.51103986,0.30109560,0.29172644
23.55199986,0.31019014,0.28266242
23.59295986,0.30109560,0.28266242
23.63391986,0.31019014,0.28266242
23.67487986,0.31019014,0.29172644
23.71583986,0.31019014,0.29172644
23.75679986,0.31928465,0.29172644
23.79775986,0.31928465,0.27359843
23.83871986,0.31019014,0.27359843
23.87967985,0.29200110,0.27359843
23.92063985,0.29200110,0.27359843
23.96159985,0.29200110,0.26450393
24.00255985,0.30109560,0.27359843
24.04351985,0.31928465,0.27359843
24.08447985,0.32837915,0.27359843
24.12543985,0.31928465,0.27359843
24.16639985,0.30109560,0.27359843
24.20735985,0.30109560,0.27359843
24.24831985,0.31928465,0.27359843
24.28927985,0.31928465,0.27359843
24.33023985,0.31019014,0.27359843
24.37119985,0.30109560,0.27359843
24.41215985,0.29200110,0.27359843
24.45311985,0.29200110,0.28266242
24.49407985,0.29200110,0.29172644
24.53503985,0.30109560,0.29172644
24.57599985,0.29200110,0.29172644
24.61695985,0.30109560,0.30082095
24.65791985,0.29200110,0.30082095
24.69887985,0.29200110,0.30082095
24.73983985,0.28287607,0.28266242
24.78079985,0.28287607,0.28266242
24.82175985,0.27378154,0.27359843
24.86271985,0.27378154,0.27359843
24.90367985,0.27378154,0.26450393
24.94463985,0.27378154,0.26450393
24.98559985,0.26468703,0.26450393
25.02655985,0.25559253,0.26450393
25.06751985,0.25559253,0.25543994
25.10847985,0.25559253,0.25543994
25.14943985,0.25559253,0.25543994
25.19039985,0.25559253,0.25543994
25.23135985,0.25559253,0.26450393
25.27231985,0.25559253,0.26450393
25.31327985,0.26468703,0.27359843
25.35423985,0.27378154,0.27359843
25.39519985,0.26468703,0.27359843
25.43615985,0.25559253,0.27359843
25.47711985,0.27378154,0.27359843
25.51807984,0.28287607,0.28266242
25.55903984,0.29200110,0.29172644
25.59999984,0.31019014,0.29172644
25.64095984,0.31928465,0.28266242
25.68191984,0.31019014,0.28266242
25.72287984,0.31019014,0.27359843
25.76383984,0.31928465,0.28266242
25.80479984,0.31019014,0.28266242
25.84575984,0.31019014,0.28266242
25.88671984,0.31928465,0.28266242
25.92767984,0.31928465,0.27359843
25.96863984,0.31019014,0.26450393
26.00959984,0.29200110,0.26450393
26.05055984,0.31019014,0.26450393
26.09151984,0.31928465,0.27359843
26.13247984,0.31928465,0.27359843
26.17343984,0.31928465,0.28266242
26.21439984,0.32837915,0.28266242
26.25535984,0.34659871,0.28266242
26.29631984,0.34659871,0.28266242
26.33727984,0.35569322,0.28266242
26.37823984,0.32837915,0.27359843
26.41919984,0.31019014,0.27359843
26.46015984,0.31019014,0.28266242
26.50111984,0.30109560,0.28266242
26.54207984,0.28287607,0.27359843
26.58303984,0.29200110,0.28266242
26.62399984,0.31019014,0.29172644
26.66495984,0.29200110,0.28266242
26.70591984,0.29200110,0.28266242
26.74687984,0.31019014,0.29172644
26.78783984,0.31019014,0.30082095
26.82879984,0.29200110,0.30082095
26.86975984,0.28287607,0.28266242
26.91071984,0.28287607,0.29172644
26.95167984,0.27378154,0.29172644
26.99263984,0.27378154,0.29172644
27.03359984,0.28287607,0.29172644
27.07455984,0.28287607,0.30082095
27.11551984,0.29200110,0.30988494
27.15647983,0.28287607,0.30082095
27.19743983,0.28287607,0.29172644
27.23839983,0.28287607,0.27359843
27.27935983,0.27378154,0.27359843
27.32031983,0.26468703,0.27359843
27.36127983,0.26468703,0.27359843
27.40223983,0.27378154,0.28266242
27.44319983,0.27378154,0.28266242
27.48415983,0.27378154,0.27359843
27.52511983,0.27378154,0.27359843
27.56607983,0.25559253,0.26450393
27.60703983,0.25559253,0.25543994
27.64799983,0.25559253,0.26450393
27.68895983,0.25559253,0.26450393
27.72991983,0.26468703,0.26450393
27.77087983,0.27378154,0.27359843
27.81183983,0.28287607,0.28266242
27.85279983,0.28287607,0.28266242
27.89375983,0.27378154,0.27359843
27.93471983,0.27378154,0.28266242
27.97567983,0.28287607,0.29172644
28.01663983,0.28287607,0.29172644
28.05759983,0.31928465,0.28266242
28.09855983,0.32837915,0.28266242
28.13951983,0.32837915,0.28266242
28.18047983,0.32837915,0.27359843
28.22143983,0.30109560,0.26450393
28.26239983,0.31928465,0.28266242
28.30335983,0.32837915,0.28266242
28.34431983,0.34659871,0.28266242
28.38527983,0.32837915,0.27359843
28.42623983,0.30109560,0.27359843
28.46719983,0.29200110,0.27359843
28.50815983,0.31928465,0.27359843
28.54911983,0.31928465,0.27359843
28.59007983,0.31928465,0.27359843
28.63103983,0.31928465,0.27359843
28.67199983,0.31928465,0.28266242
28.71295983,0.31928465,0.28266242
28.75391983,0.32837915,0.27359843
28.79487982,0.32837915,0.27359843
28.83583982,0.31928465,0.27359843
28.87679982,0.31019014,0.27359843
28.91775982,0.29200110,0.29172644
28.95871982,0.29200110,0.29172644
28.99967982,0.29200110,0.29172644
29.04063982,0.27378154,0.28266242
29.08159982,0.27378154,0.27359843
29.12255982,0.27378154,0.28266242
29.16351982,0.28287607,0.29172644
29.20447982,0.28287607,0.30082095
29.24543982,0.27378154,0.28266242
29.28639982,0.27378154,0.27359843
29.32735982,0.27378154,0.27359843
29.36831982,0.25559253,0.26450393
29.40927982,0.25559253,0.25543994
29.45023982,0.24649800,0.26450393
29.49119982,0.26468703,0.28266242
29.53215982,0.26468703,0.28266242
29.57311982,0.27378154,0.27359843
29.61407982,0.25559253,0.26450393
29.65503982,0.25559253,0.25543994
29.69599982,0.25559253,0.25543994
29.73695982,0.22827846,0.23728141
29.77791982,0.24649800,0.24637593
29.81887982,0.25559253,0.24637593
29.85983982,0.24649800,0.23728141
29.90079982,0.21918394,0.21915342
29.94175982,0.21008942,0.21005890
29.98271982,0.19186987,0.19193090
30.02367982,0.18277535,0.18283638
30.06463982,0.14639729,0.15564440
30.10559982,0.15549180,0.15564440
30.14655982,0.16458632,0.15564440
30.18751982,0.16458632,0.15564440
30.22847982,0.15549180,0.13748589
30.26943982,0.10089419,0.09210486
30.31039982,0.09176916,0.09210486
30.35135982,0.10089419,0.09210486
30.39231982,0.10998870,0.10119937
30.43327982,0.07358012,0.07397687
30.47423981,0.02807703,0.01953185
30.51519981,0.01898251,0.01953185
30.55615981,0.00988800,0.01046785
30.59711981,0.00079348,0.00140385
